sku,url
7CHA3GSV,https://www.jakartanotebook.com/search?key=7CHA3GSV
7RHX25MC,https://www.jakartanotebook.com/search?key=7RHX25MC
OMHANVBK,https://www.jakartanotebook.com/search?key=OMHANVBK
7RTH09SV,https://www.jakartanotebook.com/search?key=7RTH09SV
7RTHKTBR,https://www.jakartanotebook.com/search?key=7RTHKTBR
7RTH8HBK,https://www.jakartanotebook.com/search?key=7RTH8HBK
OMTHRPGD,https://www.jakartanotebook.com/search?key=OMTHRPGD
7RTHKRBK,https://www.jakartanotebook.com/search?key=7RTHKRBK
4LTH01GY,https://www.jakartanotebook.com/search?key=4LTH01GY
4LTH01SV,https://www.jakartanotebook.com/search?key=4LTH01SV
4LTH01GD,https://www.jakartanotebook.com/search?key=4LTH01GD
4LTH01RG,https://www.jakartanotebook.com/search?key=4LTH01RG
OMHXAFBK,https://www.jakartanotebook.com/search?key=OMHXAFBK
5JHX01GD,https://www.jakartanotebook.com/search?key=5JHX01GD
7CTH7KBK,https://www.jakartanotebook.com/search?key=7CTH7KBK
4LHZ03SV,https://www.jakartanotebook.com/search?key=4LHZ03SV
4LHZ03GD,https://www.jakartanotebook.com/search?key=4LHZ03GD
4LHZ03BK,https://www.jakartanotebook.com/search?key=4LHZ03BK
7CTH5AGD,https://www.jakartanotebook.com/search?key=7CTH5AGD
OMHX5KGD,https://www.jakartanotebook.com/search?key=OMHX5KGD
